Indice,Tipo,Classe,Sprint,Feature,PBI,Nome,Qtd CT,Inicio,Dev,Hml,PO,ProntoPpd,Ppd,Fim
1,Valor,Normal,36,13886,13019,Consultar Placa - EC,9,16/01/2018,23/01/2018,29/01/2018,29/01/2018,21/02/2018,22/02/2018,22/02/2018
2,Valor,Normal,36,13886,13537,Solicitar Listas TAG TGT LNT e NEL - API,9,01/02/2018,16/02/2018,19/02/2018,19/02/2018,21/02/2018,23/02/2018,23/02/2018
3,Valor,Normal,36,13886,13422,Solicitar listas ANTT - TRF e TRT - API,6,09/02/2018,16/02/2018,19/02/2018,19/02/2018,21/02/2018,23/02/2018,23/02/2018
4,Falha,Expedite,37,14727,14687,ordenar histórico de recargas,2,21/02/2018,21/02/2018,22/02/2018,22/02/2018,26/02/2018,27/02/2018,27/02/2018
5,Valor,Normal,37,13886,13799,Consulta Praça/Áreas - API,4,21/02/2018,23/02/2018,26/02/2018,26/02/2018,26/02/2018,27/02/2018,27/02/2018
6,Valor,Normal,37,13886,13437,Consulta Placas - Praças e Áreas bloqueadas - API,14,22/02/2018,28/02/2018,01/03/2018,01/03/2018,05/03/2018,05/03/2018,05/03/2018
7,Melhoria,Expedite,38,,15711,Expor as api's via serverless,,15/03/2018,15/03/2018,16/03/2018,16/03/2018,16/03/2018,16/03/2018,16/03/2018
8,Falha,Normal,38,13886,15148,Consulta de placas retorna situação mais recente que o período pesquisado,1,01/03/2018,06/03/2018,06/03/2018,06/03/2018,23/03/2018,23/03/2018,23/03/2018
9,Valor,Normal,39,13887,13884,Consultar agenda de repasse - API,4,06/03/2018,13/03/2018,29/03/2018,29/03/2018,02/04/2018,02/04/2018,02/04/2018
10,Valor,Normal,39,13887,13020,Consultar Lançamentos EC - API,10,07/03/2018,02/04/2018,07/04/2018,07/04/2018,07/04/2018,07/04/2018,07/04/2018
11,Valor,Normal,40,15543,15545,Resumo da Conta EC – API,8,04/04/2018,06/04/2018,10/04/2018,10/04/2018,10/04/2018,11/04/2018,11/04/2018
12,Melhoria,Normal,40,13886,16748,Expor API Consulta Placa – GraphQL,,04/04/2018,08/04/2018,09/04/2018,09/04/2018,10/04/2018,11/04/2018,11/04/2018
13,Melhoria,Normal,40,13887,16757,Expor api de extrato – graphql,,08/04/2018,08/04/2018,09/04/2018,09/04/2018,10/04/2018,11/04/2018,11/04/2018
14,Melhoria,Normal,40,13887,16747,Expor api de agenda de repasse - graphql,,09/04/2018,09/04/2018,09/04/2018,09/04/2018,10/04/2018,11/04/2018,11/04/2018
15,Melhoria,Normal,40,13887,16756,Expor api de detalhe do repasse – graphql,,09/04/2018,09/04/2018,09/04/2018,10/04/2018,10/04/2018,11/04/2018,11/04/2018
16,Melhoria,Normal,40,15543,16781,Expor api de resumo – graphql,,10/04/2018,11/04/2018,11/04/2018,11/04/2018,12/04/2018,12/04/2018,12/04/2018
17,Falha,Normal,40,13886,16873,API de Reprocessamento de lista de antt apagou o fluxo de processamento já existente,,11/04/2018,11/04/2018,11/04/2018,11/04/2018,12/04/2018,12/04/2018,12/04/2018
18,Falha,Normal,40,14727,16920,Não está apresentando as recargas na tela consulta histórico de recarga,,11/04/2018,11/04/2018,11/04/2018,11/04/2018,12/04/2018,12/04/2018,12/04/2018
19,Valor,Normal,40,13887,14366,Consultar detalhe do Repasse – API,4,15/03/2018,02/04/2018,06/04/2018,06/04/2018,13/04/2018,13/04/2018,13/04/2018
20,Melhoria,Normal,40,13886,16749,Expor api de reprocessamento de lista – graphql,,12/04/2018,12/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018
21,Valor,Normal,40,13887,13021,Gerar CSV do extrato de lançamentos - API,1,12/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018
22,Valor,Normal,40,13887,14352,Gerar CSV de repasse,2,12/04/2018,12/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018,13/04/2018
